z,mu_prime
4.849037657,0.006800226431
4.874058577,0.006707521268
4.899079498,0.006616763214
4.924100418,0.006527895704
4.949121339,0.006440864323
4.974142259,0.006355616702
4.99916318,0.006272102421
5.0241841,0.006190272918
5.049205021,0.006110081403
5.074225941,0.006031482775
5.099246862,0.00595443355
5.124267782,0.005878891782
5.149288703,0.005804817001
5.174309623,0.005732170143
5.199330544,0.005660913492
5.224351464,0.005591010622
5.249372385,0.005522426339
5.274393305,0.005455126632
5.299414226,0.005389078622
5.324435146,0.005324250516
5.349456067,0.005260611561
5.374476987,0.005198132001
5.399497908,0.005136783044
5.424518828,0.00507653681
5.449539749,0.005017366308
5.474560669,0.004959245392
5.49958159,0.004902148736
5.52460251,0.004846051793
5.549623431,0.004790930776
5.574644351,0.004736762615
5.599665272,0.004683524946
5.624686192,0.004631196075
5.649707113,0.004579754952
5.674728033,0.004529181153
5.699748954,0.004479454855
5.724769874,0.00443055681
5.749790795,0.004382468333
5.774811715,0.004335171272
5.799832636,0.004288647998
5.824853556,0.004242881381
5.849874477,0.004197854774
5.874895397,0.004153551998
5.899916318,0.004109957321
5.924937238,0.00406705545
5.949958159,0.004024831511
5.974979079,0.003983271034
6,0.003942359945
6.001,0.00394073817
7.000970588,0.002713892261
8.000941176,0.001984504328
9.000911765,0.001514897194
10.00088235,0.001194568082
11.00085294,0.0009662261529
12.00082353,0.00079769347
13.00079412,0.0006697440501
14.00076471,0.0005703082712
15.00073529,0.0004914955393
16.00070588,0.000427969402
17.00067647,0.000376015289
18.00064706,0.0003329826674
19.00061765,0.0002969389835
20.00058824,0.000266448211
21.00055882,0.0002404252085
22.00052941,0.0002180376066
23.0005,0.0001986382868
24.00047059,0.0001817180022
25.00044118,0.0001668715661
26.00041176,0.0001537733368
27.00038235,0.0001421591789
28.00035294,0.000131813032
29.00032353,0.0001225567772
30.00029412,0.0001142425148
31.00026471,0.000106746608
32.00023529,9.996506413e-05
33.00020588,9.380989981e-05
34.00017647,8.820627522e-05
35.00014706,8.309020245e-05
36.00011765,7.840671168e-05
37.00008824,7.410837062e-05
38.00005882,7.01540727e-05
39.00002941,6.650805374e-05
40,6.313908e-05
