y1,Re_U_homog_a_0e,Re_U_homog_a_1e,Re_U_homog_a_2e,Re_U_reference
-0.8333333333,0.5279130622,,,0.2981769885
-0.8055555556,0.5225127406,,,0.2965206942
-0.7777777778,0.517043813,,,0.2949488802
-0.75,0.511507086,,,0.2934475216
-0.7222222222,0.5059033745,,,0.2920036931
-0.6944444444,0.5002335025,,,0.290605786
-0.6666666667,0.4944983024,,,0.2892435617
-0.6388888889,0.4886986151,,,0.2879081052
-0.6111111111,0.4828352899,,,0.2865917255
-0.5833333333,0.4769091842,,,0.2852878309
-0.5555555556,0.4709211637,,,0.2839907992
-0.5277777778,0.4648721018,,,0.2826958527
-0.5,0.4587628799,,,0.2813989422
-0.4722222222,0.4525943872,,,0.2800966438
-0.4444444444,0.4463675203,,,0.2787860673
-0.4166666667,0.4400831834,,,0.2774647771
-0.3888888889,0.4337422879,,,0.276130723
-0.3611111111,0.4273457525,,,0.274782182
-0.3333333333,0.420894503,,,0.2734177068
-0.3055555556,0.414389472,,,0.2720360833
-0.2777777778,0.407831599,,,0.2706362928
-0.25,0.40122183,,,0.2692174806
-0.2222222222,0.3945611178,,,0.2677789286
-0.1944444444,0.3878504213,,,0.2663200312
-0.1666666667,0.3810907058,,,0.2648402752
-0.1388888889,0.3742829428,,,0.2633392213
-0.1111111111,0.3674281096,,,0.2618164881
-0.08333333333,0.3605271894,,,0.2602717373
-0.05555555556,0.353581171,,,0.2587046604
-0.02777777778,0.3465910491,,,0.2571149659
0,0.3395578233,,,0.2555023664
0.02777777778,0.3324824988,,,0.2538665667
0.05555555556,0.325366086,,,0.2522072509
0.08333333333,0.3182095999,,,0.2505240684
0.1111111111,0.3110140608,,,0.2488166197
0.1388888889,0.3037804933,,,0.2470844398
0.1666666667,0.2965099268,,,0.2453269801
0.1944444444,0.289203395,,,0.2435435871
0.2222222222,0.2818619358,,,0.2417334785
0.25,0.2744865914,,,0.2398957148
0.2777777778,0.2670784077,,,0.2380291667
0.3055555556,0.2596384347,,,0.2361324757
0.3333333333,0.2521677259,,,0.2342040094
0.3611111111,0.2446673382,,,0.2322418068
0.3888888889,0.2371383321,,,0.2302435153
0.4166666667,0.2295817713,,,0.2282063152
0.4444444444,0.2219987223,,,0.226126831
0.4722222222,0.2143902549,,,0.224001027
0.5,0.2067574413,,,0.2218240841
0.5277777778,0.1991013566,,,0.2195902554
0.5555555556,0.1914230783,,,0.2172926982
0.5833333333,0.1837236861,,,0.2149232793
0.6111111111,0.176004262,,,0.2124723521
0.6388888889,0.1682658899,,,0.209928506
0.6666666667,0.1605096556,,,0.2072782914
0.6944444444,0.1527366467,,,0.2045059295
0.7222222222,0.1449479522,,,0.2015930271
0.75,0.1371446627,,,0.1985183325
0.7777777778,0.1293278699,,,0.1952575896
0.8055555556,0.1214986666,,,0.1917835857
0.8333333333,0.1136581467,,,0.1880665174
0.8611111111,0.1058074046,,,0.1840748358
0.8888888889,0.09794753574,,,0.1797767224
0.9166666667,0.09007963574,,,0.1751422675
0.9444444444,0.08220480068,,,0.1701462402
